1350 408 341
204 169 -1 0
207 168 -1 0
206 168 -1 0
205 168 -1 0
204 168 -1 0
203 168 -1 0
202 168 -1 0
201 168 -1 0
208 167 -1 0
207 167 -1 0
206 167 -1 0
205 167 -1 0
204 167 -1 0
203 167 -1 0
202 167 -1 0
201 167 -1 0
200 167 -1 0
208 166 -1 0
207 166 -1 0
206 166 -1 0
205 166 -1 0
204 166 -1 0
203 166 -1 0
202 166 -1 0
201 166 -1 0
200 166 -1 0
199 166 -1 0
208 165 -1 0
207 165 -1 0
206 165 -1 0
205 165 -1 0
204 165 -1 0
203 165 -1 0
202 165 -1 0
201 165 -1 0
200 165 -1 0
199 165 -1 0
198 165 -1 0
197 165 -1 0
209 164 -1 0
208 164 -1 0
207 164 -1 0
206 164 -1 0
205 164 -1 0
204 164 -1 0
203 164 -1 0
202 164 -1 0
201 164 -1 0
200 164 -1 0
199 164 -1 0
198 164 -1 0
197 164 -1 0
196 164 -1 0
208 163 -1 0
207 163 -1 0
206 163 -1 0
205 163 -1 0
204 163 -1 0
203 163 -1 0
202 163 -1 0
201 163 -1 0
200 163 -1 0
199 163 -1 0
198 163 -1 0
197 163 -1 0
196 163 -1 0
195 163 -1 0
194 163 -1 0
208 162 -1 0
207 162 -1 0
206 162 -1 0
205 162 -1 0
204 162 -1 0
203 162 -1 0
202 162 -1 0
201 162 -1 0
200 162 -1 0
199 162 -1 0
198 162 -1 0
197 162 -1 0
196 162 -1 0
195 162 -1 0
194 162 -1 0
193 162 -1 0
192 162 -1 0
208 161 -1 0
207 161 -1 0
206 161 -1 0
205 161 -1 0
204 161 -1 0
203 161 -1 0
202 161 -1 0
201 161 -1 0
200 161 -1 0
199 161 -1 0
198 161 -1 0
197 161 -1 0
196 161 -1 0
195 161 -1 0
194 161 -1 0
193 161 -1 0
192 161 -1 0
191 161 -1 0
190 161 -1 0
189 161 -1 0
188 161 -1 0
207 160 -1 0
206 160 -1 0
205 160 -1 0
204 160 -1 0
203 160 -1 0
202 160 -1 0
201 160 -1 0
200 160 -1 0
199 160 -1 0
198 160 -1 0
197 160 -1 0
196 160 -1 0
195 160 -1 0
194 160 -1 0
193 160 -1 0
192 160 -1 0
191 160 -1 0
190 160 -1 0
189 160 -1 0
188 160 -1 0
187 160 -1 0
186 160 -1 0
185 160 -1 0
206 159 -1 0
205 159 -1 0
204 159 -1 0
203 159 -1 0
202 159 -1 0
201 159 -1 0
200 159 -1 0
199 159 -1 0
198 159 -1 0
197 159 -1 0
196 159 -1 0
195 159 -1 0
194 159 -1 0
193 159 -1 0
192 159 -1 0
191 159 -1 0
190 159 -1 0
189 159 -1 0
188 159 -1 0
187 159 -1 0
186 159 -1 0
185 159 -1 0
184 159 -1 0
204 158 -1 0
203 158 -1 0
202 158 -1 0
201 158 -1 0
200 158 -1 0
199 158 -1 0
198 158 -1 0
197 158 -1 0
196 158 -1 0
195 158 -1 0
194 158 -1 0
193 158 -1 0
192 158 -1 0
191 158 -1 0
190 158 -1 0
189 158 -1 0
188 158 -1 0
187 158 -1 0
186 158 -1 0
185 158 -1 0
184 158 -1 0
183 158 -1 0
182 158 -1 0
203 157 -1 0
202 157 -1 0
201 157 -1 0
200 157 -1 0
199 157 -1 0
198 157 -1 0
197 157 -1 0
196 157 -1 0
195 157 -1 0
194 157 -1 0
193 157 -1 0
192 157 -1 0
191 157 -1 0
190 157 -1 0
189 157 -1 0
188 157 -1 0
187 157 -1 0
186 157 -1 0
185 157 -1 0
184 157 -1 0
183 157 -1 0
182 157 -1 0
181 157 -1 0
180 157 -1 0
179 157 -1 0
178 157 -1 0
177 157 -1 0
176 157 -1 0
202 156 -1 0
201 156 -1 0
200 156 -1 0
199 156 -1 0
198 156 -1 0
197 156 -1 0
196 156 -1 0
195 156 -1 0
194 156 -1 0
193 156 -1 0
192 156 -1 0
191 156 -1 0
190 156 -1 0
189 156 -1 0
188 156 -1 0
187 156 -1 0
186 156 -1 0
185 156 -1 0
184 156 -1 0
183 156 -1 0
182 156 -1 0
181 156 -1 0
180 156 -1 0
179 156 -1 0
178 156 -1 0
177 156 -1 0
176 156 -1 0
175 156 -1 0
174 156 -1 0
173 156 -1 0
201 155 -1 0
200 155 -1 0
199 155 -1 0
198 155 -1 0
197 155 -1 0
196 155 -1 0
195 155 -1 0
194 155 -1 0
193 155 -1 0
192 155 -1 0
191 155 -1 0
190 155 -1 0
189 155 -1 0
188 155 -1 0
187 155 -1 0
186 155 -1 0
185 155 -1 0
184 155 -1 0
183 155 -1 0
182 155 -1 0
181 155 -1 0
180 155 -1 0
179 155 -1 0
178 155 -1 0
177 155 -1 0
176 155 -1 0
175 155 -1 0
174 155 -1 0
173 155 -1 0
172 155 -1 0
199 154 -1 0
198 154 -1 0
197 154 -1 0
196 154 -1 0
195 154 -1 0
194 154 -1 0
193 154 -1 0
192 154 -1 0
191 154 -1 0
