1737 408 341
267 265 -1 0
266 265 -1 0
270 264 -1 0
269 264 -1 0
268 264 -1 0
267 264 -1 0
266 264 -1 0
265 264 -1 0
264 264 -1 0
263 264 -1 0
271 263 -1 0
270 263 -1 0
269 263 -1 0
268 263 -1 0
267 263 -1 0
266 263 -1 0
265 263 -1 0
264 263 -1 0
263 263 -1 0
262 263 -1 0
272 262 -1 0
271 262 -1 0
270 262 -1 0
269 262 -1 0
268 262 -1 0
267 262 -1 0
266 262 -1 0
265 262 -1 0
264 262 -1 0
263 262 -1 0
262 262 -1 0
273 261 -1 0
272 261 -1 0
271 261 -1 0
270 261 -1 0
269 261 -1 0
268 261 -1 0
267 261 -1 0
266 261 -1 0
265 261 -1 0
264 261 -1 0
263 261 -1 0
262 261 -1 0
273 260 -1 0
272 260 -1 0
271 260 -1 0
270 260 -1 0
269 260 -1 0
268 260 -1 0
267 260 -1 0
266 260 -1 0
265 260 -1 0
264 260 -1 0
263 260 -1 0
262 260 -1 0
261 260 -1 0
273 259 -1 0
272 259 -1 0
271 259 -1 0
270 259 -1 0
269 259 -1 0
268 259 -1 0
267 259 -1 0
266 259 -1 0
265 259 -1 0
264 259 -1 0
263 259 -1 0
262 259 -1 0
261 259 -1 0
274 258 -1 0
273 258 -1 0
272 258 -1 0
271 258 -1 0
270 258 -1 0
269 258 -1 0
268 258 -1 0
267 258 -1 0
266 258 -1 0
265 258 -1 0
264 258 -1 0
263 258 -1 0
262 258 -1 0
275 257 -1 0
273 257 -1 0
272 257 -1 0
271 257 -1 0
270 257 -1 0
269 257 -1 0
268 257 -1 0
267 257 -1 0
266 257 -1 0
265 257 -1 0
264 257 -1 0
263 257 -1 0
262 257 -1 0
278 256 -1 0
277 256 -1 0
276 256 -1 0
275 256 -1 0
274 256 -1 0
273 256 -1 0
272 256 -1 0
271 256 -1 0
270 256 -1 0
269 256 -1 0
268 256 -1 0
267 256 -1 0
266 256 -1 0
265 256 -1 0
264 256 -1 0
263 256 -1 0
262 256 -1 0
279 255 -1 0
278 255 -1 0
277 255 -1 0
276 255 -1 0
275 255 -1 0
274 255 -1 0
273 255 -1 0
272 255 -1 0
271 255 -1 0
270 255 -1 0
269 255 -1 0
268 255 -1 0
267 255 -1 0
266 255 -1 0
265 255 -1 0
264 255 -1 0
263 255 -1 0
281 254 -1 0
280 254 -1 0
279 254 -1 0
278 254 -1 0
277 254 -1 0
276 254 -1 0
275 254 -1 0
274 254 -1 0
273 254 -1 0
272 254 -1 0
271 254 -1 0
270 254 -1 0
269 254 -1 0
268 254 -1 0
267 254 -1 0
266 254 -1 0
282 253 -1 0
281 253 -1 0
280 253 -1 0
279 253 -1 0
278 253 -1 0
277 253 -1 0
276 253 -1 0
275 253 -1 0
274 253 -1 0
273 253 -1 0
272 253 -1 0
271 253 -1 0
269 253 -1 0
282 252 -1 0
281 252 -1 0
280 252 -1 0
279 252 -1 0
278 252 -1 0
277 252 -1 0
276 252 -1 0
275 252 -1 0
274 252 -1 0
273 252 -1 0
272 252 -1 0
271 252 -1 0
270 252 -1 0
282 251 -1 0
281 251 -1 0
280 251 -1 0
279 251 -1 0
278 251 -1 0
277 251 -1 0
276 251 -1 0
275 251 -1 0
274 251 -1 0
273 251 -1 0
272 251 -1 0
271 251 -1 0
283 250 -1 0
282 250 -1 0
281 250 -1 0
280 250 -1 0
279 250 -1 0
278 250 -1 0
277 250 -1 0
276 250 -1 0
275 250 -1 0
274 250 -1 0
273 250 -1 0
272 250 -1 0
271 250 -1 0
284 249 -1 0
283 249 -1 0
282 249 -1 0
281 249 -1 0
280 249 -1 0
279 249 -1 0
278 249 -1 0
277 249 -1 0
276 249 -1 0
275 249 -1 0
274 249 -1 0
273 249 -1 0
272 249 -1 0
271 249 -1 0
286 248 -1 0
285 248 -1 0
284 248 -1 0
283 248 -1 0
282 248 -1 0
