1081 408 341
232 163 -1 1
231 163 -1 1
230 163 -1 1
235 162 -1 1
234 162 -1 1
233 162 -1 1
232 162 -1 1
231 162 -1 1
230 162 -1 1
229 162 -1 1
228 162 -1 1
227 162 -1 1
236 161 -1 1
235 161 -1 1
234 161 -1 1
233 161 -1 1
232 161 -1 1
231 161 -1 1
230 161 -1 1
229 161 -1 1
228 161 -1 1
227 161 -1 1
226 161 -1 1
225 161 -1 1
224 161 -1 1
236 160 -1 1
235 160 -1 1
234 160 -1 1
233 160 -1 1
232 160 -1 1
231 160 -1 1
230 160 -1 1
229 160 -1 1
228 160 -1 1
227 160 -1 1
226 160 -1 1
225 160 -1 1
224 160 -1 1
223 160 -1 1
236 159 -1 1
235 159 -1 1
234 159 -1 1
233 159 -1 1
232 159 -1 1
231 159 -1 1
230 159 -1 1
229 159 -1 1
228 159 -1 1
227 159 -1 1
226 159 -1 1
225 159 -1 1
224 159 -1 1
223 159 -1 1
222 159 -1 1
221 159 -1 1
207 159 -1 1
206 159 -1 1
205 159 -1 1
204 159 -1 1
203 159 -1 1
237 158 -1 1
236 158 -1 1
235 158 -1 1
234 158 -1 1
233 158 -1 1
232 158 -1 1
231 158 -1 1
230 158 -1 1
229 158 -1 1
228 158 -1 1
227 158 -1 1
226 158 -1 1
225 158 -1 1
224 158 -1 1
223 158 -1 1
222 158 -1 1
221 158 -1 1
220 158 -1 1
219 158 -1 1
217 158 -1 1
216 158 -1 1
215 158 -1 1
214 158 -1 1
212 158 -1 1
211 158 -1 1
210 158 -1 1
209 158 -1 1
208 158 -1 1
207 158 -1 1
206 158 -1 1
205 158 -1 1
204 158 -1 1
203 158 -1 1
202 158 -1 1
201 158 -1 1
200 158 -1 1
236 157 -1 1
235 157 -1 1
234 157 -1 1
233 157 -1 1
232 157 -1 1
231 157 -1 1
230 157 -1 1
229 157 -1 1
228 157 -1 1
227 157 -1 1
226 157 -1 1
225 157 -1 1
224 157 -1 1
223 157 -1 1
222 157 -1 1
221 157 -1 1
220 157 -1 1
219 157 -1 1
218 157 -1 1
217 157 -1 1
216 157 -1 1
215 157 -1 1
214 157 -1 1
213 157 -1 1
212 157 -1 1
211 157 -1 1
210 157 -1 1
209 157 -1 1
208 157 -1 1
207 157 -1 1
206 157 -1 1
205 157 -1 1
204 157 -1 1
203 157 -1 1
202 157 -1 1
201 157 -1 1
200 157 -1 1
199 157 -1 1
236 156 -1 1
235 156 -1 1
234 156 -1 1
233 156 -1 1
232 156 -1 1
231 156 -1 1
230 156 -1 1
229 156 -1 1
228 156 -1 1
227 156 -1 1
226 156 -1 1
225 156 -1 1
224 156 -1 1
223 156 -1 1
222 156 -1 1
221 156 -1 1
220 156 -1 1
219 156 -1 1
218 156 -1 1
217 156 -1 1
216 156 -1 1
215 156 -1 1
214 156 -1 1
213 156 -1 1
212 156 -1 1
211 156 -1 1
210 156 -1 1
209 156 -1 1
208 156 -1 1
207 156 -1 1
206 156 -1 1
205 156 -1 1
204 156 -1 1
203 156 -1 1
202 156 -1 1
201 156 -1 1
200 156 -1 1
199 156 -1 1
236 155 -1 1
235 155 -1 1
234 155 -1 1
233 155 -1 1
232 155 -1 1
231 155 -1 1
230 155 -1 1
229 155 -1 1
228 155 -1 1
227 155 -1 1
226 155 -1 1
225 155 -1 1
224 155 -1 1
223 155 -1 1
222 155 -1 1
221 155 -1 1
220 155 -1 1
219 155 -1 1
218 155 -1 1
217 155 -1 1
216 155 -1 1
215 155 -1 1
214 155 -1 1
213 155 -1 1
212 155 -1 1
211 155 -1 1
210 155 -1 1
209 155 -1 1
208 155 -1 1
207 155 -1 1
206 155 -1 1
205 155 -1 1
204 155 -1 1
203 155 -1 1
202 155 -1 1
201 155 -1 1
200 155 -1 1
199 155 -1 1
235 154 -1 1
234 154 -1 1
233 154 -1 1
232 154 -1 1
231 154 -1 1
230 154 -1 1
229 154 -1 1
228 154 -1 1
227 154 -1 1
226 154 -1 1
225 154 -1 1
224 154 -1 1
223 154 -1 1
222 154 -1 1
221 154 -1 1
220 154 -1 1
219 154 -1 1
218 154 -1 1
217 154 -1 1
216 154 -1 1
215 154 -1 1
214 154 -1 1
213 154 -1 1
212 154 -1 1
211 154 -1 1
210 154 -1 1
209 154 -1 1
208 154 -1 1
207 154 -1 1
206 154 -1 1
205 154 -1 1
204 154 -1 1
203 154 -1 1
202 154 -1 1
201 154 -1 1
200 154 -1 1
199 154 -1 1
198 154 -1 1
233 153 -1 1
232 153 -1 1
231 153 -1 1
230 153 -1 1
229 153 -1 1
228 153 -1 1
227 153 -1 1
226 153 -1 1
225 153 -1 1
224 153 -1 1
223 153 -1 1
222 153 -1 1
221 153 -1 1
220 153 -1 1
219 153 -1 1
218 153 -1 1
217 153 -1 1
216 153 -1 1
215 153 -1 1
214 153 -1 1
213 153 -1 1
212 153 -1 1
211 153 -1 1
210 153 -1 1
209 153 -1 1
208 153 -1 1
207 153 -1 1
206 153 -1 1
205 153 -1 1
204 153 -1 1
203 153 -1 1
202 153 -1 1
201 153 -1 1
200 153 -1 1
199 153 -1 1
230 152 -1 1
229 152 -1 1
228 152 -1 1
227 152 -1 1
226 152 -1 1
225 152 -1 1
224 152 -1 1
223 152 -1 1
222 152 -1 1
221 152 -1 1
220 152 -1 1
219 152 -1 1
218 152 -1 1
217 152 -1 1
