1037 408 341
189 177 -1 1
188 177 -1 1
186 177 -1 1
185 177 -1 1
184 177 -1 1
183 177 -1 1
181 177 -1 1
178 177 -1 1
176 177 -1 1
192 176 -1 1
191 176 -1 1
190 176 -1 1
189 176 -1 1
188 176 -1 1
187 176 -1 1
186 176 -1 1
185 176 -1 1
184 176 -1 1
183 176 -1 1
182 176 -1 1
181 176 -1 1
180 176 -1 1
179 176 -1 1
178 176 -1 1
177 176 -1 1
176 176 -1 1
175 176 -1 1
174 176 -1 1
173 176 -1 1
193 175 -1 1
192 175 -1 1
191 175 -1 1
190 175 -1 1
189 175 -1 1
188 175 -1 1
187 175 -1 1
186 175 -1 1
185 175 -1 1
184 175 -1 1
183 175 -1 1
182 175 -1 1
181 175 -1 1
180 175 -1 1
179 175 -1 1
178 175 -1 1
177 175 -1 1
176 175 -1 1
175 175 -1 1
174 175 -1 1
173 175 -1 1
172 175 -1 1
171 175 -1 1
194 174 -1 1
193 174 -1 1
192 174 -1 1
191 174 -1 1
190 174 -1 1
189 174 -1 1
188 174 -1 1
187 174 -1 1
186 174 -1 1
185 174 -1 1
184 174 -1 1
183 174 -1 1
182 174 -1 1
181 174 -1 1
180 174 -1 1
179 174 -1 1
178 174 -1 1
177 174 -1 1
176 174 -1 1
175 174 -1 1
174 174 -1 1
173 174 -1 1
172 174 -1 1
171 174 -1 1
170 174 -1 1
195 173 -1 1
194 173 -1 1
193 173 -1 1
192 173 -1 1
191 173 -1 1
190 173 -1 1
189 173 -1 1
188 173 -1 1
187 173 -1 1
186 173 -1 1
185 173 -1 1
184 173 -1 1
183 173 -1 1
182 173 -1 1
181 173 -1 1
180 173 -1 1
179 173 -1 1
178 173 -1 1
177 173 -1 1
176 173 -1 1
175 173 -1 1
174 173 -1 1
173 173 -1 1
172 173 -1 1
171 173 -1 1
170 173 -1 1
169 173 -1 1
195 172 -1 1
194 172 -1 1
193 172 -1 1
192 172 -1 1
191 172 -1 1
190 172 -1 1
189 172 -1 1
188 172 -1 1
187 172 -1 1
186 172 -1 1
185 172 -1 1
184 172 -1 1
183 172 -1 1
182 172 -1 1
181 172 -1 1
180 172 -1 1
179 172 -1 1
178 172 -1 1
177 172 -1 1
176 172 -1 1
175 172 -1 1
174 172 -1 1
173 172 -1 1
172 172 -1 1
171 172 -1 1
170 172 -1 1
169 172 -1 1
195 171 -1 1
194 171 -1 1
193 171 -1 1
192 171 -1 1
191 171 -1 1
190 171 -1 1
189 171 -1 1
188 171 -1 1
187 171 -1 1
186 171 -1 1
185 171 -1 1
184 171 -1 1
183 171 -1 1
182 171 -1 1
181 171 -1 1
180 171 -1 1
179 171 -1 1
178 171 -1 1
177 171 -1 1
176 171 -1 1
175 171 -1 1
174 171 -1 1
173 171 -1 1
172 171 -1 1
171 171 -1 1
170 171 -1 1
169 171 -1 1
168 171 -1 1
196 170 -1 1
195 170 -1 1
194 170 -1 1
193 170 -1 1
192 170 -1 1
191 170 -1 1
190 170 -1 1
189 170 -1 1
188 170 -1 1
187 170 -1 1
186 170 -1 1
185 170 -1 1
184 170 -1 1
183 170 -1 1
182 170 -1 1
181 170 -1 1
180 170 -1 1
179 170 -1 1
178 170 -1 1
177 170 -1 1
176 170 -1 1
175 170 -1 1
174 170 -1 1
173 170 -1 1
172 170 -1 1
171 170 -1 1
170 170 -1 1
169 170 -1 1
168 170 -1 1
167 170 -1 1
195 169 -1 1
194 169 -1 1
193 169 -1 1
192 169 -1 1
191 169 -1 1
190 169 -1 1
189 169 -1 1
188 169 -1 1
187 169 -1 1
186 169 -1 1
185 169 -1 1
184 169 -1 1
183 169 -1 1
182 169 -1 1
181 169 -1 1
180 169 -1 1
179 169 -1 1
178 169 -1 1
177 169 -1 1
176 169 -1 1
175 169 -1 1
174 169 -1 1
173 169 -1 1
172 169 -1 1
171 169 -1 1
170 169 -1 1
169 169 -1 1
168 169 -1 1
167 169 -1 1
166 169 -1 1
195 168 -1 1
194 168 -1 1
193 168 -1 1
192 168 -1 1
191 168 -1 1
190 168 -1 1
189 168 -1 1
188 168 -1 1
187 168 -1 1
186 168 -1 1
185 168 -1 1
184 168 -1 1
183 168 -1 1
182 168 -1 1
181 168 -1 1
180 168 -1 1
179 168 -1 1
178 168 -1 1
177 168 -1 1
176 168 -1 1
175 168 -1 1
174 168 -1 1
173 168 -1 1
172 168 -1 1
171 168 -1 1
170 168 -1 1
169 168 -1 1
168 168 -1 1
167 168 -1 1
166 168 -1 1
195 167 -1 1
194 167 -1 1
193 167 -1 1
192 167 -1 1
191 167 -1 1
190 167 -1 1
189 167 -1 1
188 167 -1 1
187 167 -1 1
